1,Software Engineer,Build and maintain backend APIs and services.,B.Tech/B.E. in Computer Science or related field,2,"['"Python'", '"FastAPI'", '"PostgreSQL'"]","['"Docker'", '"Git'"]",Bengaluru,Full-time,2026-03-03 15:45:14.908129+05:30
2,Frontend Developer,Develop modern UI with React and integrate REST APIs.,Bachelor's degree in CS/IT,2,"['"React'", '"JavaScript'", '"CSS'"]","['"Vite'", '"UI/UX'"]",Hyderabad,Full-time,2026-03-03 15:45:14.908129+05:30
3,Data Analyst,Analyze recruitment metrics and generate reports.,Bachelor's in Statistics/Math/CS,1,"['"SQL'", '"Excel'", '"Python'"]","['"Power BI'", '"Tableau'"]",Pune,Full-time,2026-03-03 15:45:14.908129+05:30
4,DevOps Engineer,Automate CI/CD and manage cloud infrastructure.,B.E./B.Tech,3,"['"Docker'", '"Kubernetes'", '"CI/CD'"]","['"AWS'", '"Linux'"]",Chennai,Full-time,2026-03-03 15:45:14.908129+05:30
5,QA Engineer,Design and execute test plans for web applications.,Bachelor's degree,2,"['"Manual Testing'", '"API Testing'", '"Selenium'"]","['"PyTest'", '"JMeter'"]",Noida,Full-time,2026-03-03 15:45:14.908129+05:30
6,Machine Learning Engineer,Build ML models for candidate ranking and matching.,Master's/Bachelor's in AI/ML/CS,3,"['"Python'", '"Scikit-learn'", '"Pandas'"]","['"NLP'", '"MLOps'"]",Remote,Full-time,2026-03-03 15:45:14.908129+05:30
7,HR Operations Specialist,Coordinate hiring workflows and stakeholder communication.,Bachelor's degree,2,"['"Communication'", '"Recruitment'", '"Documentation'"]","['"ATS Tools'", '"MS Office'"]",Mumbai,Full-time,2026-03-03 15:45:14.908129+05:30
8,Product Manager,Define product roadmap and collaborate with engineering teams.,Bachelor's/MBA preferred,4,"['"Product Strategy'", '"Agile'", '"Stakeholder Management'"]","['"Analytics'", '"Roadmapping'"]",Bengaluru,Full-time,2026-03-03 15:45:14.908129+05:30
9,UI/UX Designer,Design user-centric workflows and visual interfaces.,Bachelor's degree in Design or related,2,"['"Figma'", '"Wireframing'", '"Prototyping'"]","['"Design Systems'", '"Accessibility'"]",Delhi,Contract,2026-03-03 15:45:14.908129+05:30
10,Backend Intern,Assist in API development and bug fixing.,Pursuing B.Tech/B.E.,0,"['"Python'", '"SQL'", '"Git'"]","['"FastAPI'", '"Unit Testing'"]",Remote,Internship,2026-03-03 15:45:14.908129+05:30
